cid,countyName,predict,truePoverty,error
0500000US48111,Dallam County Texas,26.26559806,15.9,-10.36559806
0500000US42101,Philadelphia County Pennsylvania,38.40732264,25.8,-12.60732264
0500000US05125,Saline County Arkansas,17.36962968,8,-9.369629678
0500000US20129,Morton County Kansas,13.03520108,8,-5.035201083
0500000US33015,Rockingham County New Hampshire,11.41856968,4.8,-6.618569678
0500000US29047,Clay County Missouri,-25.00168832,8.9,33.90168832
0500000US21199,Pulaski County Kentucky,275.8815632,25.2,-250.6815632
0500000US13225,Peach County Georgia,-22.06104688,18.7,40.76104688
0500000US45025,Chesterfield County South Carolina,-31.33936591,23.8,55.13936591
0500000US48497,Wise County Texas,38.81541233,13,-25.81541233
0500000US17169,Schuyler County Illinois,13.28667281,21.5,8.213327193
0500000US31081,Hamilton County Nebraska,-219.6774667,7.2,226.8774667
0500000US12127,Volusia County Florida,75.09441263,16.1,-58.99441263
0500000US37047,Columbus County North Carolina,13.31544002,23.6,10.28455998
0500000US01113,Russell County Alabama,112.9933536,20.9,-92.09335358
0500000US37015,Bertie County North Carolina,142.5015734,22,-120.5015734
0500000US48383,Reagan County Texas,22.03461981,18,-4.034619814
0500000US01011,Bullock County Alabama,47.63238174,28.5,-19.13238174
0500000US16075,Payette County Idaho,-55.20912524,15.5,70.70912524
0500000US24025,Harford County Maryland,16.88847249,7.5,-9.388472489
0500000US26093,Livingston County Michigan,42.87079277,5.9,-36.97079277
0500000US49043,Summit County Utah,7.071553526,7.5,0.428446474
0500000US41009,Columbia County Oregon,18.13696013,12.3,-5.836960125
0500000US26119,Montmorency County Michigan,62.77367335,15.1,-47.67367335
0500000US28157,Wilkinson County Mississippi,351.2299663,38.7,-312.5299663
0500000US18155,Switzerland County Indiana,65.93802652,19.7,-46.23802652
0500000US55107,Rusk County Wisconsin,-1.445029937,15.2,16.64502994
0500000US47147,Robertson County Tennessee,16.72423406,11.3,-5.424234062
0500000US41063,Wallowa County Oregon,18.12770633,13.7,-4.427706334
0500000US26065,Ingham County Michigan,-130.7954957,20.9,151.6954957
0500000US53077,Yakima County Washington,-145.3492732,19,164.3492732
0500000US25013,Hampden County Massachusetts,23.39618522,17.2,-6.196185215
0500000US50001,Addison County Vermont,7.168326744,7.8,0.631673256
0500000US20207,Woodson County Kansas,89.04664805,20.6,-68.44664805
0500000US27135,Roseau County Minnesota,-915.6776216,9.2,924.8776216
0500000US06007,Butte County California,47.12324055,20.5,-26.62324055
0500000US26143,Roscommon County Michigan,-163.3183571,19.8,183.1183571
